id1;id2;dist;edge_id
27561431;27561652;35;38660713
27561441;27561147;111;37510398
27561447;27561641;135;38405297
27561447;27561657;38;38857911
27561449;27561712;44;37510544
27561449;27561724;42;37750816
27561451;27561287;22;38126197
27561453;27560912;139;38405317
27561453;27561157;169;38405304
27561453;27561157;165;38405320
27561453;27562179;114;38405301
27561462;27561428;59;39594143
27561462;27562007;83;38660667
27561480;27561462;49;39594142
27561484;27561416;30;38813261
27561484;27561480;59;38553704
27561492;27561570;51;37510527
27561507;27561307;36;38581735
27561507;27561333;23;38405335
27561511;27561519;6;37515799
27561519;27561441;19;37510397
27561519;27561657;28;37515796
27561522;27561729;32;38405337
27561525;27560756;112;38126232
27561527;27561567;60;37510539
27561530;27561201;44;37604940
27561530;27561511;20;37515798
27561539;27561416;229;37510324
27561567;27561601;54;37510538
27561570;27561707;57;37510526
27561574;27561530;10;37515797
27561601;27561091;86;37510545
27561601;27561724;42;37510536
27561641;27561447;135;38405298
27561641;27561808;52;38880911
27561641;27561918;50;38405295
27561651;27561350;49;38880736
27561651;27561688;34;38704296
27561651;27561735;63;38704295
27561652;27561431;35;38660712
27561652;27561922;42;38660687
27561653;27561317;52;39558905
27561653;27562179;260;38405314
27561657;27561815;27;37515793
27561670;27561430;77;38874912
27561670;27561986;58;38581740
27561670;27562692;413;38874911
27561688;27561413;42;38880738
27561688;27561651;34;38704297
27561688;27561771;31;38704290
27561701;27561484;219;38553698
27561701;27561527;44;37510537
27561707;27561852;79;38175369
27561714;27561916;48;38126223
27561722;27561165;403;37498395
27561724;27561791;45;37510541
27561724;27562067;56;37510531
27561729;27561507;36;39594103
27561729;27562497;127;37515835
27561735;27561361;55;38880740
27561735;27561651;63;38704294
27561735;27561756;58;38704293
27561754;27561574;30;37515795
27561754;27561722;59;39752100
27561756;27561389;120;38704287
27561756;27561735;58;38704292
27561756;27561982;34;38704289
27561762;27562150;100;39754669
27561763;27561836;32;38880713
27561765;27561539;106;38175367
27561769;27560850;131;38880909
27561769;27561064;131;37547033
27561769;27561971;32;38880927
27561769;27562465;182;37547030
27561771;27561688;31;38704291
27561779;27561945;34;38880743
27561784;27561567;93;38397736
27561786;27561918;34;38405308
27561795;27561754;7;37515794
27561798;27562067;592;37510542
27561808;27561641;52;38880910
27561815;27561919;27;37515792
27561827;27562081;44;38880902
27561827;27562384;290;38739862
27561829;27562179;146;38405315
27561836;27561763;32;38880712
27561836;27562005;80;38880711
27561836;27562053;89;38880714
27561838;27561108;226;38230370
27561838;27561907;72;38230367
27561838;27562092;45;39423339
27561852;27561872;29;38175366
27561861;27561996;83;38704299
27561879;27561945;42;38880767
27561890;27561701;29;37510535
27561890;27561784;18;38552480
27561900;27561525;59;38126231
27561907;27561838;72;38230368
27561907;27562009;63;38230365
27561907;27562038;37;38126216
27561916;27561714;48;38126222
27561916;27562000;24;38126169
27561916;27562346;85;38126221
27561918;27561641;50;38405296
27561918;27561786;34;38405307
27561918;27562081;46;38405306
27561919;27561795;38;37515791
27561919;27562019;17;37515772
27561921;27561765;82;38175368
27561922;27561652;42;38660686
27561922;27562007;175;38660736
27561922;27562192;43;38660685
27561932;27562264;54;38881798
27561934;27561008;217;38735740
27561934;27561941;6;38735745
27561934;27562867;167;38124565
27561936;27561941;73;38735742
27561939;27561921;29;37510326
27561939;27561943;30;37691659
27561941;27560945;140;39601477
27561941;27561934;6;38735744
27561941;27561936;73;38735743
27561943;27561998;37;38175371
27561945;27561779;34;38880742
27561945;27561879;42;38880766
27561945;27562111;35;38880765
27561954;27561795;23;37804017
27561971;27561769;32;38880926
27561971;27562070;69;38880900
27561971;27562081;207;38880925
27561981;27561982;58;37562765
27561981;27561996;27;37562762
27561981;27562427;106;38880755
27561982;27561756;34;38704288
27561982;27561981;58;37562764
27561982;27562111;97;37562761
27561986;27561670;58;38581739
27561990;27562891;725;38882347
27561996;27561861;83;38704298
27561996;27561981;27;37562763
27561996;27562133;46;37562758
27561998;27562163;39;38175373
27562000;27561916;24;38126170
27562002;27562168;31;39594139
27562005;27561836;80;38880710
27562005;27562053;8;39227694
27562007;27561462;83;38660666
27562007;27561922;175;38660735
27562007;27562365;61;38660665
27562009;27561907;63;38230366
27562009;27562346;98;38230363
27562016;27561784;36;38397735
27562016;27561890;28;37510534
27562019;27562564;95;37804005
27562038;27561907;37;38126217
27562038;27562092;19;38126214
27562038;27562112;32;38126188
27562046;27562016;13;37510533
27562046;27562147;62;38579121
27562053;27561836;89;38880715
27562053;27563751;414;39227693
27562057;27561162;233;39230465
